id_crime,id_barangay,LAT,LONG,DATE,TIME,id_type
1,450,14.611737228823198,120.99686367573051,2021-12-30,07:02:28,1
2,263,14.608088262055498,120.97900866451796,2022-03-15,07:46:31,5
3,65,14.613242229188291,120.96846247664534,2022-10-09,01:31:28,4
4,845,14.588656021545084,121.0015184733423,2023-03-12,20:34:18,4
5,318,14.610244982258536,120.98470999373,2024-06-29,15:59:14,6
6,495,14.623002524362516,120.99121450143454,2021-12-29,13:22:43,5
7,297,14.601254348464334,120.97759411546336,2022-03-17,19:28:06,5
8,29,14.603373112789626,120.96142301879004,2023-08-18,18:21:27,8
9,791,14.577895397668613,121.00633849349722,2024-01-09,07:12:40,5
10,755,14.563000580348309,120.99900980157099,2020-10-01,17:37:13,8
11,587,14.601186158426358,121.01399477866767,2020-04-18,12:44:39,4
12,225,14.618030860125186,120.97847483663999,2022-02-10,08:29:11,8
13,485,14.617242674714097,120.99119327047502,2023-03-20,17:14:04,5
14,288,14.600645039620499,120.974717648184,2022-05-09,17:19:11,6
15,527,14.613998957004648,121.00255226402032,2021-01-16,07:53:28,1
16,573,14.60701141342929,121.0039061670332,2021-08-20,17:58:28,6
17,866,14.583027171807469,121.0068495762803,2020-06-10,18:02:48,5
18,404,14.602287265384417,120.98953144897125,2022-08-13,07:02:09,2
19,350,14.619998309161145,120.98627411010753,2020-11-15,10:40:04,8
20,720,14.563958411814967,120.98996796023816,2022-05-28,18:16:30,3
21,148,14.62463454253921,120.96834438155993,2022-04-26,18:49:32,6
22,213,14.62472785597149,120.97661899457385,2023-04-21,23:05:01,4
23,286,14.597164598497837,120.96726920687134,2023-02-10,08:17:04,6
24,863,14.589338048764816,121.00493565750538,2022-03-25,17:18:15,6
25,682,14.580649330636394,120.99853843861139,2022-08-29,20:03:08,5
26,527,14.614049714549903,121.00252306311147,2022-09-24,18:58:42,6
27,130,14.62892435650778,120.96354229665286,2023-12-04,18:35:18,6
28,745,14.567689987420213,120.99850223367608,2023-01-17,03:34:19,3
29,3,14.605700049132551,120.96821499636913,2022-03-04,17:34:19,6
30,775,14.571911041405041,121.00660724845343,2021-01-23,18:04:17,5
31,20,14.606236826540833,120.95052019304049,2023-10-06,16:25:30,7
32,236,14.61534081456005,120.97492222843513,2021-04-20,02:10:32,6
33,481,14.612780729549318,120.99069490214494,2023-10-01,08:06:19,7
34,275,14.598536263995188,120.9647204588722,2022-05-29,17:56:39,4
35,497,14.62205071491125,120.98981884044073,2022-08-01,14:06:05,8
36,431,14.606729643848517,120.9951013441225,2020-08-15,18:25:06,1
37,459,14.607459465742181,120.9914685946438,2023-07-22,08:05:57,5
38,240,14.607182382758396,120.97495050292288,2021-11-22,09:41:28,7
39,45,14.607964383412764,120.96491102708265,2021-09-30,08:24:46,5
40,395,14.603421298663733,120.98680360180413,2022-03-05,08:09:11,4
41,853,14.583200885946246,121.00096361838999,2021-04-28,02:55:36,5
42,835,14.591797027600443,121.0077676341917,2021-06-08,07:33:59,3
